IDSUBSLS,IDSLS,KDKEC,KDDESA,NMKEC,NMDESA,NMSLS
1708030012000100,17080300120001,030,012,SEBERANG MUSI,BAYUNG,DUSUN 1
1708040006000300,17080400060003,040,006,TEBAT KARAI,TEBAT KARAI,RT 3 RW 2
1708060003000400,17080600030004,060,003,KABA WETAN,TANGSI DUREN,DUSUN 4
1708060005000400,17080600050004,060,005,KABA WETAN,PEMATANG DONOK,DUSUN 4
1708070002000501,17080700020005,070,002,UJAN MAS,UJAN MAS BAWAH,DUSUN 5
1708070003000800,17080700030008,070,003,UJAN MAS,UJAN MAS ATAS,RT 8 RW 2
1708030001000200,17080300010002,030,001,SEBERANG MUSI,BENUANG GALING,DUSUN 2
1708070002000400,17080700020004,070,002,UJAN MAS,UJAN MAS BAWAH,DUSUN 4
1708050009000300,17080500090003,050,009,KEPAHIANG,PENSIUNAN,RT 3 RW 1
1708050005000100,17080500050001,050,005,KEPAHIANG,PASAR UJUNG,RT 1 RW 1
1708050019000300,17080500190003,050,019,KEPAHIANG,KAMPUNG PENSIUNAN,RT 3 RW 1
1708010004100100,17080100041001,010,004,MUARA KEMUMU,SOSOKAN TABA,PERKEBUNAN
1708040010000100,17080400100001,040,010,TEBAT KARAI,TAPAK GEDUNG,DUSUN 1
1708070008000300,17080700080003,070,008,UJAN MAS,PEKALONGAN,DUSUN 3
1708040004000300,17080400040003,040,004,TEBAT KARAI,PERADUAN BINJAI,DUSUN 3
1708060004000200,17080600040002,060,004,KABA WETAN,TANGSI BARU,RT 2 RW 1
1708050014000400,17080500140004,050,014,KEPAHIANG,TABA TEBELET,DUSUN 4
1708020018000300,17080200180003,020,018,BERMANI ILIR,LANGGAR JAYA,DUSUN 3
1708050011000400,17080500110004,050,011,KEPAHIANG,DUSUN KEPAHIANG,RT 4 RW 2
1708050017000200,17080500170002,050,017,KEPAHIANG,PAGAR GUNUNG,DUSUN 2
1708050011000100,17080500110001,050,011,KEPAHIANG,DUSUN KEPAHIANG,RT 1 RW 1
1708050021001100,17080500210011,050,021,KEPAHIANG,PADANG LEKAT,RT 11 RW 2
1708070010000200,17080700100002,070,010,UJAN MAS,BUMI SARI,DUSUN 2
1708080003001400,17080800030014,080,003,MERIGI,DURIAN DEPUN,RT 14
1708070012000200,17080700120002,070,012,UJAN MAS,SURO BALI,DUSUN 2
1708010005000500,17080100050005,010,005,MUARA KEMUMU,BATU BANDUNG,DUSUN 5
1708040006000400,17080400060004,040,006,TEBAT KARAI,TEBAT KARAI,RT 4 RW 2
1708040001100200,17080400011002,040,001,TEBAT KARAI,TERTIK,HUTAN DAN PERKEBUNAN KOPI
1708060008000100,17080600080001,060,008,KABA WETAN,AIR SEMPIANG,DUSUN 1
1708050011000500,17080500110005,050,011,KEPAHIANG,DUSUN KEPAHIANG,RT 5 RW 3
